,_id,ltable_ID,rtable_ID,ltable_Title,ltable_Genre,ltable_Score,ltable_Release Date,ltable_Rating,ltable_Directed By,ltable_Written By,ltable_Studio,rtable_Title,rtable_Genre,rtable_Score,rtable_Release Date,rtable_Rating,rtable_Directed By,rtable_Written By,rtable_Studio,label
72023,72023,A_0870,B_1102,Under the Dome,Sci-Fi,67,1900-1-1,TV-14,,Brian K. Vaughan,Amblin Television,,,0,1900-1-1,NOT RATED,,,,0
73935,73935,A_0898,B_0309,Flatliners,Drama,52,2017-09-29,PG-13,Niels Arden Oplev,Peter Filardi,Columbia Pictures,Realive,Sci-Fi,77,2017-09-29,NOT RATED,Mateo Gil,Mateo Gil,,0
75562,75562,A_0933,B_2473,300: Rise of an Empire,Fantasy,62,2014-03-07,R,Noam Murro,Zack Snyder,Warner Bros.,300: Rise of an Empire,Drama,43,2014-03-07,R,Noam Murro,Zack Snyder,Warner Bros. Pictures,1
75605,75605,A_0942,B_0455,Resident Evil: The Final Chapter,Horror,56,2017-01-27,R,Paul W.S. Anderson,Paul W.S. Anderson,Constantin Film,Resident Evil: Vendetta,Thriller,50,2017-06-19,R,Takanori Tsujimoto,Makoto Fukami,,0
75624,75624,A_0946,B_1314,Bone Tomahawk,Drama,71,2016-02-19,NOT RATED,S. Craig Zahler,S. Craig Zahler,Caliber Media Company,Bone Tomahawk,Adventure,90,2015-10-23,NOT RATED,S. Craig Zahler,S. Craig Zahler,,1
75633,75633,A_0950,B_0030,The Mist,Drama,54,1900-1-1,TV-14,,Christian Torpe,,The Outsider,Drama,22,1900-1-1,NOT RATED,Martin Zandvliet,Andrew Baldwin,,0
75906,75906,A_0964,B_2864,Insidious: Chapter 3,Thriller,61,2015-06-05,PG-13,Leigh Whannell,Leigh Whannell,Gramercy Pictures (I),Insidious: Chapter 2,Thriller,39,2013-09-13,PG-13,James Wan,Leigh Whannell,FilmDistrict,0
76504,76504,A_0983,B_0849,Lights Out,Horror,63,2016-07-22,PG-13,David F. Sandberg,Eric Heisserer,New Line Cinema,Lights Out,Horror,76,2016-07-22,PG-13,David F. Sandberg,Eric Heisserer,RatPac-Dune Entertainment,1
76711,76711,A_0988,B_1057,The Prince of Egypt,Adventure,70,1998-12-18,PG,Brenda Chapman,Philip LaZebnik,DreamWorks Animation,Gods Of Egypt,Sci-Fi,15,2016-02-26,PG-13,Alex Proyas,Burk Sharpless,Lionsgate,0
77551,77551,A_1003,B_1102,King of the Hill,Comedy,73,1900-1-1,TV-PG,,Greg Daniels,Deedle-Dee Productions,,,0,1900-1-1,NOT RATED,,,,0
77852,77852,A_1005,B_1303,Hotel Transylvania 2,Comedy,67,2015-09-25,PG,Genndy Tartakovsky,Robert Smigel,Columbia Pictures,Hotel Transylvania 2,Animation,55,2015-09-25,PG,Genndy Tartakovsky,Robert Smigel,Sony Pictures,1
78048,78048,A_1009,B_0889,Kingsglaive: Final Fantasy XV,Adventure,68,2016-07-09,PG-13,Takeshi Nozue,Takashi Hasegawa,Digic Pictures,Kingsglaive: Final Fantasy XV,Film-Noir,13,2016-08-19,PG-13,Takeshi Nozue,Takashi Hasegawa,,1
78129,78129,A_1013,B_1102,Violet Evergarden,Fantasy,84,1900-1-1,TV-14,,,Kyoto Animation,,,0,1900-1-1,NOT RATED,,,,0
78335,78335,A_1019,B_1102,Pokémon,Adventure,75,1900-1-1,TV-Y,,Junichi Masuda,Pokémon USA,,,0,1900-1-1,NOT RATED,,,,0
80429,80429,A_1047,B_1102,Ray Donovan,Drama,83,1900-1-1,TV-MA,,Ann Biderman,The Mark Gordon Company,,,0,1900-1-1,NOT RATED,,,,0
82072,82072,A_1078,B_1535,The Batman,Drama,0,1900-1-1,NOT RATED,Matt Reeves,Ben Affleck,Atlas Entertainment,The Editor,Horror,55,1900-1-1,NOT RATED,Adam Brooks,,,0
82440,82440,A_1084,B_0871,The King of Queens,Comedy,74,1900-1-1,TV-PG,,David Litt,Columbia TriStar Television,The Siege of Jadotville,Drama,60,1900-1-1,NOT RATED,Richie Smyth,Kevin Brodbin,Netflix,0
82656,82656,A_1086,B_1102,Benidorm,Comedy,74,1900-1-1,NOT RATED,,,Tiger Aspect Productions,,,0,1900-1-1,NOT RATED,,,,0
83253,83253,A_1090,B_1544,High Maintenance,Comedy,78,1900-1-1,TV-MA,,Katja Blichfeld,Janky Clown Productions,Nightingale,Drama,81,1900-1-1,PG-13,Elliott Lester,Frederick Mensch,,0
84091,84091,A_1095,B_0165,Still Game,Comedy,90,1900-1-1,NOT RATED,,,BBC Scotland,Shock Wave,Film-Noir,83,1900-1-1,NOT RATED,,Herman Yau,,0
84360,84360,A_1098,B_1102,Boy Meets World,Comedy,81,1900-1-1,TV-G,,Michael Jacobs,Michael Jacobs Productions,,,0,1900-1-1,NOT RATED,,,,0
85544,85544,A_1117,B_1559,The Following,Drama,75,1900-1-1,TV-14,,Kevin Williamson,Bonanza Productions,The Turning,Drama,85,1900-1-1,NOT RATED,Tony Ayres,Andrew Upton,Madman Entertainment,0
85835,85835,A_1120,B_0383,Gran Hotel,Drama,85,1900-1-1,NOT RATED,,,Bambú Producciones,Death Note,Drama,41,1900-1-1,NOT RATED,Adam Wingard,Charley Parlapanides,,0
89555,89555,A_1192,B_1888,The Hobbit: The Desolation of Smaug,Fantasy,79,2013-12-13,PG-13,Peter Jackson,Fran Walsh,Metro-Goldwyn-Mayer (MGM),The Hobbit: The Battle of the Five Armies,Sci-Fi,59,2014-12-17,R,Peter Jackson,Philippa Boyens,Warner Bros.,0
89821,89821,A_1210,B_0935,The Huntsman: Winter's War,Drama,61,2016-04-22,PG-13,Cedric Nicolas-Troyan,Evan Spiliotopoulos,Universal Pictures,The Huntsman: Winter's War,Drama,17,2016-04-22,PG-13,Cedric Nicolas-Troyan,Craig Mazin,Universal Pictures,1
89825,89825,A_1212,B_2725,Mr. Nobody,Fantasy,79,2013-09-26,R,Jaco Van Dormael,Jaco Van Dormael,Pan Européenne,Mr. Nobody,Film-Noir,66,2013-11-01,R,Jaco Van Dormael,Jaco Van Dormael,Magnolia Pictures,1
93607,93607,A_1312,B_0695,Heartland,Drama,83,1900-1-1,TV-PG,,,Bell Broadcast and New Media Fund,Nerdland,Drama,27,1900-1-1,NOT RATED,Chris Prynoski,Andrew Kevin Walker,AKW Worldwide,0
95665,95665,A_1332,B_0824,Hell or High Water,Drama,76,2016-08-26,R,David Mackenzie,Taylor Sheridan,Sidney Kimmel Entertainment,Hell or High Water,Drama,97,2016-08-12,R,David Mackenzie,Taylor Sheridan,Film 44,1
98127,98127,A_1362,B_2999,The Grand Tour,Comedy,88,1900-1-1,TV-14,,,W. Chump & sons,The Great Hip Hop Hoax,Documentary,86,1900-1-1,PG-13,Jeanie Finlay,,WARNER BROTHERS PICTURES,0
98302,98302,A_1363,B_2755,Baskets,Comedy,75,1900-1-1,TV-MA,,Louis C.K.,Pig Newton,Bullet,Drama,11,1900-1-1,NOT RATED,Nick Lyon,Nick Lyon,,0
98928,98928,A_1370,B_0539,Baby Daddy,Comedy,74,1900-1-1,TV-14,,Dan Berendsen,Don't Borrow Trouble,Bad Rap,Documentary,67,1900-1-1,NOT RATED,Salima Koroma,,,0
99460,99460,A_1377,B_0096,A Futile and Stupid Gesture,Comedy,69,2018-01-26,TV-MA,David Wain,Michael Colton,Principato-Young Entertainment,A Futile and Stupid Gesture,Comedy,61,1900-1-1,NOT RATED,David Wain,Michael Colton,,1
102988,102988,A_1440,B_0129,The Crossing,Sci-Fi,77,1900-1-1,NOT RATED,,Jay Beattie,Brick Moon Podcasting,The Polka King,Drama,59,1900-1-1,NOT RATED,Maya Forbes,Maya Forbes,Netflix,0
103055,103055,A_1440,B_1038,The Crossing,Sci-Fi,77,1900-1-1,NOT RATED,,Jay Beattie,Brick Moon Podcasting,The Steps,Drama,33,1900-1-1,NOT RATED,Andrew Currie,Robyn Harding,,0
103058,103058,A_1440,B_1102,The Crossing,Sci-Fi,77,1900-1-1,NOT RATED,,Jay Beattie,Brick Moon Podcasting,,,0,1900-1-1,NOT RATED,,,,0
103196,103196,A_1445,B_0641,Silence,Documentary,72,2017-01-13,R,Martin Scorsese,Jay Cocks,Cappa Defina Productions,Silence,Drama,84,2017-01-13,R,Martin Scorsese,Jay Cocks,Paramount Pictures,1
103531,103531,A_1456,B_1532,Good Witch,Fantasy,73,1900-1-1,TV-PG,,Craig Pryce,,Blood Punch,Thriller,78,1900-1-1,NOT RATED,Madellaine Paxson,Eddie Guzelian,,0
104836,104836,A_1486,B_0830,The Secret Circle,Fantasy,74,1900-1-1,TV-14,,Andrew Miller,Outerbanks Entertainment,The Ivory Game,Documentary,80,1900-1-1,NOT RATED,Richard Ladkani,,,0
104969,104969,A_1490,B_0151,Mayhem,Horror,63,2017-11-10,NOT RATED,Joe Lynch,Matias Caruso,Circle of Confusion,Mayhem,Adventure,83,2017-11-10,NOT RATED,Joe Lynch (V),Matias Caruso,,1
105291,105291,A_1533,B_2592,PAW Patrol,Adventure,68,1900-1-1,TV-Y,,Keith Chapman,Spin Master Studios,The Patrol,Drama,64,1900-1-1,NOT RATED,Tom Petch,Tom Petch,Kasbah-Film Tanger,0
107223,107223,A_1563,B_2446,Rio 2,Comedy,63,2014-04-11,G,Carlos Saldanha,Don Rhymer,Twentieth Century Fox Animation,Rio 2,Animation,46,2014-04-11,G,Carlos Saldanha,Carlos Saldanha,20th Century Fox,1
108153,108153,A_1568,B_2788,Justice League Action,Adventure,79,1900-1-1,TV-Y7,,,DC Entertainment,Justice League: War,Adventure,50,1900-1-1,PG-13,Jay Oliva,Heath Corson,,0
108618,108618,A_1573,B_1102,Teenage Mutant Ninja Turtles,Adventure,80,1900-1-1,TV-Y7,,Ciro Nieli,Lowbar Productions,,,0,1900-1-1,NOT RATED,,,,0
108856,108856,A_1577,B_1854,Batman Beyond,Animation,81,1900-1-1,TV-Y7,,Bill Finger,Warner Bros. Animation,Batman Vs. Robin,Adventure,100,1900-1-1,PG-13,Jay Oliva,J.M. DeMatteis,,0
108915,108915,A_1580,B_1863,Penguins of Madagascar,Comedy,67,2014-11-26,PG,Eric Darnell,Michael Colton,DreamWorks Animation,Island Of Lemurs: Madagascar,Animation,81,2014-04-04,G,David Douglas,Drew Fellman,Warner Bros. Pictures,0
109196,109196,A_1588,B_1102,Power,Drama,82,1900-1-1,TV-MA,,Courtney Kemp Agboh,CBS Television Studios,,,0,1900-1-1,NOT RATED,,,,0
109380,109380,A_1589,B_1038,The Chi,Drama,72,1900-1-1,TV-MA,,Lena Waithe,Fox 21 Television Studios,The Steps,Drama,33,1900-1-1,NOT RATED,Andrew Currie,Robyn Harding,,0
111465,111465,A_1642,B_1102,Home Improvement,Comedy,72,1900-1-1,TV-G,,Carmen Finestra,Wind Dancer Productions,,,0,1900-1-1,NOT RATED,,,,0
111603,111603,A_1643,B_0395,The Nanny,Comedy,69,1900-1-1,TV-PG,,Fran Drescher,CBS,The Sea,Drama,47,1900-1-1,NOT RATED,Stephen Brown,John Banville,,0
111977,111977,A_1645,B_0395,Top Gear,Comedy,87,1900-1-1,TV-PG,,,British Broadcasting Corporation (BBC),The Sea,Drama,47,1900-1-1,NOT RATED,Stephen Brown,John Banville,,0
115310,115310,A_1701,B_1102,Doctor Who,Drama,85,1900-1-1,TV-PG,,Sydney Newman,British Broadcasting Corporation (BBC),,,0,1900-1-1,NOT RATED,,,,0
116418,116418,A_1729,B_0879,Swiss Army Man,Comedy,70,2016-07-01,R,Dan Kwan,Daniel Scheinert,Blackbird,Swiss Army Man,Drama,69,2016-06-24,R,Daniel Scheinert,Daniel Kwan,Blackbird Films,1
116755,116755,A_1738,B_1509,Salem,Fantasy,72,1900-1-1,TV-MA,,Brannon Braga,Beetlecod Productions,Lyle,Drama,100,1900-1-1,NOT RATED,Stewart Thorndike,Stewart Thorndike,Stewart Thorndike/Alex Scharfman,0
116891,116891,A_1765,B_1981,30 Days of Night,Thriller,66,2007-10-19,R,David Slade,Steve Niles,Columbia Pictures,Tales of the Night,Sci-Fi,79,2012-09-26,NOT RATED,Michel Ocelot,Michel Ocelot,GKIDS,0
117759,117759,A_1790,B_1102,World War Z 2,Horror,0,1900-1-1,NOT RATED,David Fincher,Max Brooks,Plan B Entertainment,,,0,1900-1-1,NOT RATED,,,,0
118071,118071,A_1797,B_0524,Resident Evil: Apocalypse,Horror,62,2004-09-10,R,Alexander Witt,Paul W.S. Anderson,Davis Films / Impact Pictures,Resident Evil: The Final Chapter,Action,36,2017-01-27,R,Paul W.S. Anderson,Paul W.S. Anderson,Sony Pictures,0
118077,118077,A_1799,B_0088,The Munsters,Fantasy,79,1900-1-1,NOT RATED,,Ed Haas,CBS,The Ritual,Film-Noir,71,1900-1-1,NOT RATED,David Bruckner,Adam Nevill,,0
118263,118263,A_1801,B_1051,I Know What You Did Last Summer,Thriller,57,1997-10-17,R,Jim Gillespie,Lois Duncan,Mandalay Entertainment,Careful What You Wish For,Drama,17,2016-06-10,R,Elizabeth Allen,Chris Frisina,,0
119128,119128,A_1815,B_1102,Space Jam 2,Comedy,0,1900-1-1,NOT RATED,Justin Lin,Leo Benvenuti,Perfect Storm Entertainment,,,0,1900-1-1,NOT RATED,,,,0
119877,119877,A_1821,B_1102,Arthur,Comedy,74,1900-1-1,TV-Y,,,9 Story Media Group,,,0,1900-1-1,NOT RATED,,,,0
120064,120064,A_1823,B_1102,Total Drama,Comedy,72,1900-1-1,TV-PG,,Tom McGillis,Fresh TV,,,0,1900-1-1,NOT RATED,,,,0
120171,120171,A_1824,B_0750,Suicide Squad: Hell to Pay,Action,0,2018-03-27,R,Sam Liu,Alan Burnett,DC Entertainment,Suicide Squad,Adventure,26,2016-08-05,PG-13,David Ayer,David Ayer,Warner Bros. Pictures,0
120461,120461,A_1829,B_1456,Dragon Ball Z: Doragon bôru zetto,Adventure,87,1900-1-1,TV-PG,,,Toei Animation,Dragon Ball Z: Resurrection 'F',Action,81,2015-08-04,NOT RATED,Tadayoshi Yamamuro,Akira Toriyama,FUNimation Films,0
120638,120638,A_1832,B_1102,A.I.C.O. Incarnation,Sci-Fi,63,1900-1-1,TV-14,,,,,,0,1900-1-1,NOT RATED,,,,0
121235,121235,A_1838,B_1547,Berserk,Adventure,86,1900-1-1,NOT RATED,,Kentaro Miura,OLM-Animation Studio,Bessie,Drama,89,1900-1-1,R,Dee Rees,Dee Rees,,0
122556,122556,A_1853,B_1102,Aqua Teen Hunger Force,Comedy,77,1900-1-1,TV-MA,,Dave Willis,Awesome Incorporated,,,0,1900-1-1,NOT RATED,,,,0
123540,123540,A_1868,B_1332,The Path,Drama,74,1900-1-1,TV-MA,,Jessica Goldberg,Lucid Road Productions,The Inhabitants,Thriller,60,1900-1-1,NOT RATED,Michael Rasmussen (III),Michael Rasmussen (III),,0
125094,125094,A_1917,B_0456,First Kill,Thriller,49,2017-07-21,R,Steven C. Miller,Nick Gordon,Kirk Shaw Productions,First Kill,Drama,14,2017-07-21,R,Steven C. Miller,Nick Gordon,,1
126931,126931,A_1942,B_1102,Raven's Home,Comedy,80,1900-1-1,TV-G,,Jed Elinoff,Rough Draft Productions,,,0,1900-1-1,NOT RATED,,,,0
127414,127414,A_1947,B_1091,Dirty Grandpa,Comedy,59,2016-01-22,R,Dan Mazer,John Phillips,Lionsgate,Dirty Grandpa,Comedy,11,2016-01-22,R,Dan Mazer,John Philips,,1
127426,127426,A_1949,B_1470,Magic Mike XXL,Comedy,56,2015-07-01,R,Gregory Jacobs,Reid Carolin,Warner Bros.,Magic Mike XXL,Comedy,65,2015-07-01,R,Gregory Jacobs,Channing Tatum,Warner Bros. Pictures,1
129640,129640,A_1996,B_1102,Killers of the Flower Moon,Drama,0,1900-1-1,NOT RATED,Martin Scorsese,David Grann,Imperative Entertainment,,,0,1900-1-1,NOT RATED,,,,0
129731,129731,A_1996,B_2700,Killers of the Flower Moon,Drama,0,1900-1-1,NOT RATED,Martin Scorsese,David Grann,Imperative Entertainment,Day of the Flowers,Drama,58,1900-1-1,NOT RATED,John Roberts,Eirene Houston,,0
130344,130344,A_2011,B_0428,The Discovery,Drama,63,2017-03-31,TV-MA,Charlie McDowell,Justin Lader,Endgame Entertainment,The Boss Baby,Animation,52,2017-03-31,PG,Tom McGrath,Michael McCullers,DreamWorks Animation,0
132308,132308,A_2042,B_0991,The Divergent Series: Ascendant,Romance,0,1900-1-1,NOT RATED,Lee Toland Krieger,Veronica Roth,Lionsgate,The Divergent Series: Allegiant,Sci-Fi,12,2016-03-18,PG-13,Robert Schwentke,Noah Oppenheim,Lionsgate,0
132501,132501,A_2049,B_1038,The Musketeers,Drama,78,1900-1-1,NOT RATED,,Adrian Hodges,BBC America,The Steps,Drama,33,1900-1-1,NOT RATED,Andrew Currie,Robyn Harding,,0
133096,133096,A_2060,B_1343,Galavant,Fantasy,81,1900-1-1,NOT RATED,,Dan Fogelman,ABC Studios,Get Santa,Comedy,77,1900-1-1,PG,Christopher Smith (VIII),Christopher Smith (VIII),,0
133402,133402,A_2084,B_0030,The Worst Witch,Fantasy,75,1900-1-1,NOT RATED,,,CBBC In-House,The Outsider,Drama,22,1900-1-1,NOT RATED,Martin Zandvliet,Andrew Baldwin,,0
133459,133459,A_2084,B_0830,The Worst Witch,Fantasy,75,1900-1-1,NOT RATED,,,CBBC In-House,The Ivory Game,Documentary,80,1900-1-1,NOT RATED,Richard Ladkani,,,0
133910,133910,A_2088,B_1920,Beauty and the Beast,Fantasy,71,1900-1-1,NOT RATED,,Ron Koslow,Witt/Thomas Productions,Outside Bet,Film-Noir,0,1900-1-1,NOT RATED,Sacha Bennett,Paolo Hewitt,,0
134158,134158,A_2098,B_1885,Don't Be Afraid of the Dark,Fantasy,56,2011-08-26,R,Troy Nixey,Guillermo del Toro,Miramax,Out Of The Dark,Thriller,24,2015-02-27,R,LluÃ­s QuÃ­lez,Javier GullÃ³n,Vertical Entertainment,0
134160,134160,A_2100,B_0911,Night of the Living Dead,Horror,79,1968-10-04,NOT RATED,George A. Romero,John A. Russo,Image Ten,Night of the Living Deb,Comedy,83,2014-10-31,NOT RATED,Kyle Rankin,Andy Selsor,,0
134164,134164,A_2100,B_1981,Night of the Living Dead,Horror,79,1968-10-04,NOT RATED,George A. Romero,John A. Russo,Image Ten,Tales of the Night,Sci-Fi,79,2012-09-26,NOT RATED,Michel Ocelot,Michel Ocelot,GKIDS,0
134166,134166,A_2104,B_1418,The Final Girls,Comedy,66,2015-11-05,PG-13,Todd Strauss-Schulson,M.A. Fortin,Groundswell Productions,The Final Girls,Horror,70,2015-10-09,PG-13,Todd Strauss-Schulson,Joshua John Miller,Stage 6 Films,1
134169,134169,A_2108,B_0580,I Spit on Your Grave,Thriller,57,1978-11-22,R,Meir Zarchi,Meir Zarchi,Cinemagic Pictures,I Am Not Your Negro,Documentary,98,2017-02-03,PG-13,Raoul Peck,James Baldwin,Magnolia Pictures,0
134177,134177,A_2112,B_2881,The Return of the Living Dead,Comedy,73,1985-08-16,R,Dan O'Bannon,Rudy Ricci,Hemdale,Birth Of The Living Dead,Documentary,96,2013-11-06,NOT RATED,Rob Kuhns,Rob Kuhns,First Run Features,0
134346,134346,A_2122,B_2279,Wolf Creek,Thriller,72,1900-1-1,TV-MA,,,Emu Creek Pictures,Wolf,Drama,67,1900-1-1,NOT RATED,Jim Taihuttu,Jim Taihuttu,,0
137158,137158,A_2158,B_0924,The Flintstones,Comedy,75,1900-1-1,TV-G,,Joseph Barbera,Hanna-Barbera Productions,The Neighbor,Horror,67,1900-1-1,NOT RATED,Marcus Dunstan,Marcus Dunstan,,0
137205,137205,A_2158,B_1559,The Flintstones,Comedy,75,1900-1-1,TV-G,,Joseph Barbera,Hanna-Barbera Productions,The Turning,Drama,85,1900-1-1,NOT RATED,Tony Ayres,Andrew Upton,Madman Entertainment,0
137256,137256,A_2158,B_2592,The Flintstones,Comedy,75,1900-1-1,TV-G,,Joseph Barbera,Hanna-Barbera Productions,The Patrol,Drama,64,1900-1-1,NOT RATED,Tom Petch,Tom Petch,Kasbah-Film Tanger,0
139045,139045,A_2172,B_1102,Son of Zorn,Fantasy,67,1900-1-1,TV-PG,,Reed Agnew,Agnew Jorne,,,0,1900-1-1,NOT RATED,,,,0
140850,140850,A_2193,B_0937,God's Not Dead: A Light in Darkness,Drama,0,2018-03-30,PG,Michael Mason,Michael Mason,Pure Flix Productions,God's Not Dead 2,Drama,9,2016-04-01,PG,Harold Cronk,Chuck Konzelman,Pure Flix Entertainment,0
141662,141662,A_2211,B_0502,John Wick: Chapter 3,Thriller,0,2019-05-17,NOT RATED,Chad Stahelski,Derek Kolstad,Lionsgate,John Wick: Chapter 2,Drama,89,2017-02-10,R,Chad Stahelski,Derek Kolstad,Summit Entertainment,0
142090,142090,A_2229,B_0608,The Book of Henry,Drama,65,2017-06-23,PG-13,Colin Trevorrow,Gregg Hurwitz,Double Nickel Entertainment,The Book Of Love,Drama,8,2017-01-13,PG-13,Bill Purple,Robbie Pickering,,0
142880,142880,A_2248,B_0149,Battle of Britain,Drama,70,1969-10-24,G,Guy Hamilton,James Kennaway,Spitfire Productions,Battle of the Sexes,Drama,85,2017-09-29,PG-13,Jonathan Dayton,Simon Beaufoy,Fox Searchlight Pictures,0
144892,144892,A_2287,B_0832,The Wonder Years,Comedy,83,1900-1-1,TV-PG,,Carol Black,New World Television,The 24 Hour War,Documentary,100,1900-1-1,NOT RATED,Adam Carolla,,,0
144901,144901,A_2287,B_0925,The Wonder Years,Comedy,83,1900-1-1,TV-PG,,Carol Black,New World Television,The White Helmets,Documentary,100,1900-1-1,NOT RATED,Orlando Von Einsiedel,,,0
146160,146160,A_2306,B_2791,People of Earth,Sci-Fi,77,1900-1-1,TV-MA,,David Jenkins,Conaco,People Of A Feather,Documentary,86,2013-11-08,NOT RATED,Joel Heath,Joel Heath,First Run Features,0
146604,146604,A_2321,B_0196,The Bridge,Drama,76,1900-1-1,TV-MA,,Elwood Reid,FX Productions,The Crucifixion,Horror,0,1900-1-1,R,Xavier Gens,Chad Hayes,,0
146655,146655,A_2321,B_0924,The Bridge,Drama,76,1900-1-1,TV-MA,,Elwood Reid,FX Productions,The Neighbor,Horror,67,1900-1-1,NOT RATED,Marcus Dunstan,Marcus Dunstan,,0
147043,147043,A_2323,B_1102,Sorjonen,Drama,76,1900-1-1,NOT RATED,,Miikko Oikkonen,Federation Entertainment,,,0,1900-1-1,NOT RATED,,,,0
147609,147609,A_2335,B_1038,The Closer,Drama,76,1900-1-1,NOT RATED,,James Duff,"Shephard/Robin Company, The",The Steps,Drama,33,1900-1-1,NOT RATED,Andrew Currie,Robyn Harding,,0
148013,148013,A_2341,B_1102,Torchwood,Drama,78,1900-1-1,TV-MA,,Russell T. Davies,BBC Wales,,,0,1900-1-1,NOT RATED,,,,0
148881,148881,A_2352,B_2292,Godzilla,Thriller,53,1998-05-20,PG-13,Roland Emmerich,Dean Devlin,Centropolis Film Productions,Godzilla,Thriller,74,2014-05-16,PG-13,Gareth Edwards (V),Dan Callahan,Warner Bros Pictures,1
148962,148962,A_2354,B_1102,Kyle XY,Drama,76,1900-1-1,NOT RATED,,Eric Bress,ABC Studios,,,0,1900-1-1,NOT RATED,,,,0
148988,148988,A_2354,B_1509,Kyle XY,Drama,76,1900-1-1,NOT RATED,,Eric Bress,ABC Studios,Lyle,Drama,100,1900-1-1,NOT RATED,Stewart Thorndike,Stewart Thorndike,Stewart Thorndike/Alex Scharfman,0
150613,150613,A_2390,B_2107,Planet of the Apes,Sci-Fi,57,2001-07-27,PG-13,Tim Burton,Pierre Boulle,Twentieth Century Fox,Dawn Of The Planet Of The Apes,Drama,90,2014-07-11,PG-13,Matt Reeves,Rick Jaffa,20th Century Fox,0
150649,150649,A_2411,B_1358,Queen of the Damned,Fantasy,53,2002-02-22,R,Michael Rymer,Anne Rice,Warner Bros.,Queen of Earth,Drama,92,2015-08-26,NOT RATED,Alex Ross Perry,Alex Ross Perry,,0
150826,150826,A_2414,B_2607,Legend of Cambria,Fantasy,80,1900-1-1,NOT RATED,,,Pull The Trigger Productions,The Legend of Hercules,Sci-Fi,3,2014-01-10,PG-13,Renny Harlin,Sean Hood,Lionsgate Films,0
150962,150962,A_2417,B_1559,The Returned,Fantasy,71,1900-1-1,TV-14,,Carlton Cuse,A&E,The Turning,Drama,85,1900-1-1,NOT RATED,Tony Ayres,Andrew Upton,Madman Entertainment,0
151041,151041,A_2418,B_0088,The Stand,Fantasy,72,1900-1-1,NOT RATED,,,Greengrass Productions,The Ritual,Film-Noir,71,1900-1-1,NOT RATED,David Bruckner,Adam Nevill,,0
151114,151114,A_2418,B_1038,The Stand,Fantasy,72,1900-1-1,NOT RATED,,,Greengrass Productions,The Steps,Drama,33,1900-1-1,NOT RATED,Andrew Currie,Robyn Harding,,0
152165,152165,A_2435,B_2602,Nymfit,Fantasy,49,1900-1-1,NOT RATED,,Miikko Oikkonen,Fisher King Production,Gambit,Drama,17,1900-1-1,PG-13,Michael Hoffman,Ethan Coen,,0
152203,152203,A_2442,B_0916,The Darkness,Thriller,44,2016-05-13,PG-13,Greg McLean,Greg McLean,Blumhouse Productions,The Darkness,Horror,3,2016-05-13,PG-13,Greg McLean,Greg McLean,,1
152268,152268,A_2469,B_0581,Rupture,Thriller,48,2017-04-28,NOT RATED,Steven Shainberg,Brian Nelson,Ambi Pictures,Rupture,Drama,21,2017-04-28,NOT RATED,Steven Shainberg,Brian Nelson,,1
152380,152380,A_2472,B_1343,Death Stranding,Horror,0,1900-1-1,NOT RATED,Hideo Kojima,Hideo Kojima,Kojima Productions,Get Santa,Comedy,77,1900-1-1,PG,Christopher Smith (VIII),Christopher Smith (VIII),,0
152495,152495,A_2481,B_0166,Devil's Gate,Thriller,51,2018-01-05,NOT RATED,Clay Staub,Peter Aperlo,Caramel Film,Devil's Gate,Drama,36,2018-01-05,NOT RATED,Clay Staub,Peter Aperlo,IFC Films,1
153285,153285,A_2491,B_2929,Constantine: City of Demons,Fantasy,0,1900-1-1,NOT RATED,,,DC Entertainment,The Mortal Instruments: City of Bones,Drama,13,2013-08-21,PG-13,Harald Zwart,Jessica Postigo Paquette,Sony Pictures,0
154872,154872,A_2509,B_1102,The Octonauts,Animation,74,1900-1-1,TV-Y,,,Brown Bag Films,,,0,1900-1-1,NOT RATED,,,,0
155621,155621,A_2517,B_1102,Ao no ekusoshisuto,Drama,77,1900-1-1,TV-14,,,Aniplex,,,0,1900-1-1,NOT RATED,,,,0
156945,156945,A_2530,B_1102,"No Game, No Life",Comedy,80,1900-1-1,TV-14,,,Madhouse,,,0,1900-1-1,NOT RATED,,,,0
157353,157353,A_2545,B_1102,Dawson's Creek,Drama,66,1900-1-1,TV-14,,Kevin Williamson,Outerbanks Entertainment,,,0,1900-1-1,NOT RATED,,,,0
157487,157487,A_2550,B_0909,Money Monster,Drama,65,2016-05-13,R,Jodie Foster,Jamie Linden,TriStar Pictures,Money Monster,Drama,57,2016-05-13,R,Jodie Foster,Alan DiFiore,Smokehouse Pictures,1
157535,157535,A_2558,B_2352,Aftermath,Drama,57,2017-04-07,R,Elliott Lester,Javier Gullón,Emmett/Furla/Oasis Films (EFO Films),Aftermath,Thriller,47,2014-07-18,R,Peter Engert,Christian McDonald,,1
157543,157543,A_2565,B_0021,Kickboxer: Retaliation,Drama,50,2018-02-01,R,Dimitri Logothetis,Dimitri Logothetis,Our House Films,Kickboxer: Retaliation,Drama,91,2018-01-26,R,Dimitri Logothetis,Dimitri Logothetis,Well Go USA Entertainment,1
157836,157836,A_2578,B_1102,Comedians in Cars Getting Coffee,Comedy,82,1900-1-1,TV-14,,Jerry Seinfeld,Embassy Row,,,0,1900-1-1,NOT RATED,,,,0
