,_id,ltable_ID,rtable_ID,ltable_Title,ltable_Genre,ltable_Score,ltable_Rating,rtable_Title,rtable_Genre,rtable_Score,rtable_Rating,label
125552,125552,A_1925,B_1252,Growing Pains,Comedy;Family,66,TV-G,Second Coming,Drama,82,NOT RATED,0
125662,125662,A_1926,B_0196,The Suite Life of Zack and Cody,Comedy;Family,64,TV-G,The Crucifixion,Horror,0,R,0
126002,126002,A_1927,B_2368,Joey,Comedy;Romance,60,TV-14,Project Wild Thing,Action;Adventure;Documentary;Drama,80,NOT RATED,0
127029,127029,A_1943,B_0490,Saved by the Bell,Comedy;Family;Romance,70,TV-PG,"Can't Stop, Won't Stop: A Bad Boy Story",Documentary,38,NOT RATED,0
129002,129002,A_1987,B_0840,Perception,Drama;Mystery,75,TV-14,Schneider vs. Bax,Comedy;Drama;Mystery;Thriller,63,NOT RATED,0
130016,130016,A_2000,B_1909,Between,Drama;Mystery;Sci-Fi,60,TV-14,The White Haired Witch of Lunar Kingdom,Action;Adventure;Drama;Fantasy;Sci-Fi,0,NOT RATED,0
130515,130515,A_2013,B_0319,Dark Angel,Action;Drama;Mystery,74,TV-14,Sharknado 5: Global Swarming,Fantasy;Horror;Sci-Fi;Television,33,NOT RATED,0
130975,130975,A_2017,B_1547,The Thundermans,Action;Comedy;Family,58,TV-G,Bessie,Drama;Television,89,R,0
131044,131044,A_2017,B_2851,The Thundermans,Action;Comedy;Family,58,TV-G,Nativity!2009,Comedy,46,PG,0
131209,131209,A_2020,B_2447,Power Rangers Ninja Steel,Action;Sci-Fi,67,TV-Y7,Vinyl,Comedy,60,NOT RATED,0
132682,132682,A_2055,B_1535,Revolution,Action;Adventure;Drama,67,TV-14,The Editor,Horror,55,NOT RATED,0
134502,134502,A_2137,B_1464,Moonlight,Drama;Fantasy;Horror,77,NOT RATED,Get Married If You Can,Comedy,20,NOT RATED,0
135672,135672,A_2147,B_1985,The Magic School Bus Rides Again,Adventure;Animation;Family,67,TV-Y,Valentine Road,Documentary,91,NOT RATED,0
136320,136320,A_2152,B_0472,SuperMansion,Animation;Comedy,77,NOT RATED,Dirty Dancing,Drama;Musical,19,NOT RATED,0
136466,136466,A_2152,B_2851,SuperMansion,Animation;Comedy,77,NOT RATED,Nativity!2009,Comedy,46,PG,0
136759,136759,A_2156,B_1332,Bob the Builder,Animation;Family,54,TV-Y,The Inhabitants,Horror;Mystery;Thriller,60,NOT RATED,0
136918,136918,A_2157,B_0955,X-Men,Action;Animation;Family,85,TV-Y7,XOXO,Comedy,71,NOT RATED,0
137510,137510,A_2160,B_1409,Wendell and Wild,Animation,0,NOT RATED,Mr. Dynamite: The Rise of James Brown,Documentary;Musical,100,NOT RATED,0
137863,137863,A_2165,B_1038,The New Adventures of Winnie the Pooh,Adventure;Animation;Comedy,76,TV-Y,The Steps,Comedy;Drama;Film-Noir,33,NOT RATED,0
138871,138871,A_2171,B_2257,Sôru îtâ,Action;Adventure;Animation,79,TV-14,See No Evil 2,Horror,60,R,0
139346,139346,A_2178,B_0862,Daniel Tiger's Neighborhood,Animation;Family,74,TV-Y,Orange Sunshine,Action;Adventure;Documentary,100,NOT RATED,0
139519,139519,A_2179,B_0681,The Adventures of Puss in Boots,Adventure;Animation;Comedy,69,TV-Y7,Girlfriend's Day,Comedy,20,NOT RATED,0
142198,142198,A_2233,B_2503,Spartacus: Gods of the Arena,Action;Adventure;Documentary,85,TV-MA,Joy Ride 3: Road Kill,Horror;Mystery;Thriller,60,R,0
142466,142466,A_2240,B_0421,The Unit,Action;Drama;Thriller,81,TV-PG,Naked,Comedy;Romance,0,NOT RATED,0
144294,144294,A_2273,B_1529,You Me Her,Comedy;Drama;Romance,70,NOT RATED,The Last Impresario,Documentary,93,NOT RATED,0
144529,144529,A_2282,B_1787,Red Dwarf,Comedy;Sci-Fi,84,TV-14,My Mistress,Drama;Romance,33,NOT RATED,0
145655,145655,A_2299,B_1787,Dark Shadows,Drama;Fantasy;Horror,80,NOT RATED,My Mistress,Drama;Romance,33,NOT RATED,0
147382,147382,A_2334,B_1264,24: Legacy,Action;Drama,63,TV-14,Marshland (La isla mÃÂ­nima),Film-Noir;Mystery;Thriller,91,NOT RATED,0
147648,147648,A_2335,B_2731,The Closer,Drama;Mystery,76,NOT RATED,Silence,Drama,90,R,0
147912,147912,A_2341,B_0476,Torchwood,Action;Drama;Sci-Fi,78,TV-MA,Love at First Child (Ange et Gabrielle),Comedy;Film-Noir,50,NOT RATED,0
147968,147968,A_2341,B_1233,Torchwood,Action;Drama;Sci-Fi,78,TV-MA,Capture the Flag,Action;Adventure;Animation;Comedy;Film-Noir,48,NOT RATED,0
150376,150376,A_2388,B_0196,The Wild Wild West,Action;Adventure;Sci-Fi,82,NOT RATED,The Crucifixion,Horror,0,R,0
150555,150555,A_2396,B_1556,Battleship,Action;Adventure;Sci-Fi,58,PG-13,The Color Wheel,Comedy;Drama,76,NOT RATED,0
150824,150824,A_2417,B_0472,The Returned,Drama;Fantasy;Horror,71,TV-14,Dirty Dancing,Drama;Musical,19,NOT RATED,0
150973,150973,A_2417,B_2922,The Returned,Drama;Fantasy;Horror,71,TV-14,Harold's Going Stiff,Comedy;Horror,100,NOT RATED,0
151154,151154,A_2418,B_2815,The Stand,Adventure;Drama;Fantasy,72,NOT RATED,Antisocial,Horror,0,R,0
151222,151222,A_2419,B_0840,Dinosaurs,Comedy;Family;Fantasy,75,TV-PG,Schneider vs. Bax,Comedy;Drama;Mystery;Thriller,63,NOT RATED,0
151370,151370,A_2427,B_0160,A Korean Odyssey,Fantasy,87,NOT RATED,Axolotl Overkill,Drama;Film-Noir,64,NOT RATED,0
151442,151442,A_2427,B_1144,A Korean Odyssey,Fantasy,87,NOT RATED,Rhythm 'N' Bayous: A Road Map To Louisiana Music (2000),Documentary;Musical,40,NOT RATED,0
151968,151968,A_2435,B_0383,Nymfit,Drama;Fantasy,49,NOT RATED,Death Note,Drama;Horror;Mystery;Thriller,41,NOT RATED,0
152347,152347,A_2472,B_1796,Death Stranding,Action;Horror,0,NOT RATED,A Few Best Men,Comedy,15,NOT RATED,0
152356,152356,A_2472,B_1990,Death Stranding,Action;Horror,0,NOT RATED,Richard Pryor: Omit The Logic,Documentary,80,R,0
152553,152553,A_2486,B_1129,Marvel Rising: Secret Warriors,Action;Animation;Comedy,0,NOT RATED,Theory of Obscurity: A Film About the Residents,Documentary,75,NOT RATED,0
152774,152774,A_2489,B_1572,Fate/Zero,Action;Animation;Fantasy,83,TV-MA,Hangar 10,Fantasy;Horror;Mystery;Sci-Fi;Thriller,14,NOT RATED,0
153185,153185,A_2491,B_2246,Constantine: City of Demons,Animation;Fantasy;Horror,0,NOT RATED,Mystery Road,Mystery;Thriller,91,NOT RATED,0
153471,153471,A_2494,B_0832,Llama Llama,Animation,74,TV-Y,The 24 Hour War,Documentary,100,NOT RATED,0
153784,153784,A_2496,B_2922,Rocket Power,Animation;Family;Sport,69,TV-G,Harold's Going Stiff,Comedy;Horror,100,NOT RATED,0
153843,153843,A_2498,B_0702,Dexter's Laboratory,Animation;Comedy;Family,80,TV-G,Spin Out,Comedy;Romance,13,R,0
154520,154520,A_2506,B_2592,Re: Zero kara hajimeru isekai seikatsu,Adventure;Animation;Drama,81,TV-14,The Patrol,Action;Adventure;Drama,64,NOT RATED,0
154703,154703,A_2507,B_2503,Rurouni Kenshin: Wandering Samurai,Action;Adventure;Animation,86,TV-14,Joy Ride 3: Road Kill,Horror;Mystery;Thriller,60,R,0
156869,156869,A_2530,B_0925,"No Game, No Life",Adventure;Animation;Comedy,80,TV-14,The White Helmets,Documentary,100,NOT RATED,0
156876,156876,A_2530,B_1004,"No Game, No Life",Adventure;Animation;Comedy,80,TV-14,No Men Beyond This Point,Comedy;Drama;Fantasy;Film-Noir;Sci-Fi,43,NOT RATED,0
157606,157606,A_2574,B_1540,Jack Ryan,Action;Drama;Thriller,0,TV-14,Paper Planes,Drama;Family,83,NOT RATED,0
157664,157664,A_2574,B_2634,Jack Ryan,Action;Drama;Thriller,0,TV-14,The Curse Of The Gothic Symphony (2011),Documentary;Musical,100,NOT RATED,0
158482,158482,A_2589,B_2700,Disjointed,Comedy,66,TV-MA,Day of the Flowers,Comedy;Drama;Romance,58,NOT RATED,0
158595,158595,A_2592,B_1175,Corporate,Comedy,71,NOT RATED,Hush,Horror,94,R,0
160471,160471,A_2625,B_0548,Agatha Christie's Marple,Drama;Mystery,78,TV-14,Mommy Dead and Dearest,Documentary,100,NOT RATED,0
160735,160735,A_2626,B_1640,Beck,Mystery;Thriller,74,NOT RATED,Justice League: Gods and Monsters,Action;Adventure,86,PG-13,0
162064,162064,A_2691,B_1580,Maggie,Drama;Horror,56,PG-13,Hunting Elephants,Comedy,36,NOT RATED,0
162802,162802,A_2717,B_0832,Animaniacs,Animation;Comedy;Family,79,TV-Y7,The 24 Hour War,Documentary,100,NOT RATED,0
163280,163280,A_2721,B_2415,Dora the Explorer,Adventure;Animation;Comedy,39,TV-Y,Justin and the Knights of Valour,Action;Adventure;Animation;Fantasy;Film-Noir;Sci-Fi,7,PG,0
163690,163690,A_2724,B_0066,Justice League,Action;Adventure;Animation,86,TV-PG,Teenage Cocktail,Drama,100,NOT RATED,0
163959,163959,A_2727,B_1144,Deadpool,Action;Adventure;Animation,0,NOT RATED,Rhythm 'N' Bayous: A Road Map To Louisiana Music (2000),Documentary;Musical,40,NOT RATED,0
164285,164285,A_2732,B_0293,The Real Ghostbusters,Action;Animation;Comedy,76,TV-Y7,One of Us,Documentary,95,NOT RATED,0
164483,164483,A_2733,B_0449,Big Hero 6: The Series,Action;Adventure;Animation,75,TV-Y7,The Incredible Jessica James,Comedy,86,NOT RATED,0
167346,167346,A_2778,B_0360,Vis a vis,Drama;Thriller,82,TV-MA,Jerry Before Seinfeld,Comedy,92,NOT RATED,0
167764,167764,A_2793,B_0198,Heathers,Comedy,45,TV-MA,Love and Saucers,Documentary;Mystery;Thriller,80,NOT RATED,0
167885,167885,A_2793,B_2009,Heathers,Comedy,45,TV-MA,Justice League: Throne Of Atlantis,Action;Adventure;Animation,40,PG-13,0
167924,167924,A_2793,B_2787,Heathers,Comedy,45,TV-MA,Killing Kennedy,Drama,56,NOT RATED,0
169304,169304,A_2829,B_2900,In the Heat of the Night,Drama;Mystery,75,NOT RATED,Twenty8k,Drama;Film-Noir;Mystery;Thriller,20,NOT RATED,0
170050,170050,A_2837,B_2846,A Touch of Frost,Drama;Mystery,78,TV-MA,Kiss the Water,Documentary,87,NOT RATED,0
171127,171127,A_2854,B_1547,Glitch,Drama;Sci-Fi,76,TV-MA,Bessie,Drama;Television,89,R,0
171192,171192,A_2854,B_2788,Glitch,Drama;Sci-Fi,76,TV-MA,Justice League: War,Action;Adventure;Animation,50,PG-13,0
171413,171413,A_2865,B_0232,V,Drama;Sci-Fi;Thriller,68,TV-14,Rift (RÃÂ¶kkur),Drama;Mystery;Thriller,100,NOT RATED,0
171598,171598,A_2868,B_0066,Naked and Afraid,Adventure;Television,67,TV-14,Teenage Cocktail,Drama,100,NOT RATED,0
173707,173707,A_2921,B_2246,The Addams Family,Comedy;Family;Horror,80,TV-G,Mystery Road,Mystery;Thriller,91,NOT RATED,0
173830,173830,A_2933,B_0614,Being Human,Comedy;Drama;Fantasy,78,NOT RATED,Louis C.K.:,Comedy,100,NOT RATED,0
173959,173959,A_2933,B_2755,Being Human,Comedy;Drama;Fantasy,78,NOT RATED,Bullet,Action;Adventure;Drama;Mystery;Thriller,11,NOT RATED,0
174861,174861,A_2962,B_2999,Lilo & Stitch: The Series,Action;Adventure;Animation,68,TV-Y,The Great Hip Hop Hoax,Documentary,86,PG-13,0
175841,175841,A_2972,B_0539,Dragons: Riders of Berk,Adventure;Animation;Comedy,81,TV-PG,Bad Rap,Documentary;Musical,67,NOT RATED,0
176962,176962,A_2980,B_0472,Spider-Man,Action;Adventure;Animation,65,TV-Y7,Dirty Dancing,Drama;Musical,19,NOT RATED,0
177146,177146,A_2981,B_0421,Neo Yokio,Animation;Comedy;Fantasy,58,TV-MA,Naked,Comedy;Romance,0,NOT RATED,0
178034,178034,A_2988,B_2656,The New Scooby-Doo Movies,Animation;Comedy;Family,77,TV-G,Flowers in the Attic,Documentary;Drama,52,NOT RATED,0
178600,178600,A_2992,B_2531,Animal Kingdom,Drama,81,TV-MA,No Clue,Comedy,40,NOT RATED,0
179928,179928,A_3019,B_1706,Bunk'd,Comedy;Family,57,NOT RATED,Papadopoulos & Sons,Comedy;Drama;Film-Noir,77,NOT RATED,0
180275,180275,A_3023,B_1102,Girl Meets World,Comedy;Drama;Family,72,TV-G,,,0,NOT RATED,0
180552,180552,A_3025,B_2656,Gilligan's Island,Comedy;Family,74,TV-G,Flowers in the Attic,Documentary;Drama,52,NOT RATED,0
181042,181042,A_3042,B_1151,Blue Mountain State,Comedy;Sport,84,TV-MA,Of Men And War,Documentary,100,NOT RATED,0
181351,181351,A_3045,B_0096,The Perfectionists,Drama;Mystery,0,NOT RATED,A Futile and Stupid Gesture,Comedy,61,NOT RATED,0
181751,181751,A_3052,B_0216,The Five,Drama;Mystery,77,NOT RATED,Love Is Thicker Than Water,Comedy;Romance,43,NOT RATED,0
182850,182850,A_3067,B_2252,Zone Blanche,Drama;Mystery;Thriller,77,NOT RATED,Saving Santa,Animation;Family,20,NOT RATED,0
182886,182886,A_3067,B_2922,Zone Blanche,Drama;Mystery;Thriller,77,NOT RATED,Harold's Going Stiff,Comedy;Horror,100,NOT RATED,0
184587,184587,A_3110,B_2211,Hercules: The Legendary Journeys,Action;Adventure;Drama,65,NOT RATED,LFO: The Movie,Drama;Fantasy;Sci-Fi,100,NOT RATED,0
184763,184763,A_3113,B_1980,The Witcher,Action;Adventure;Drama,0,NOT RATED,The Year Dolly Parton Was My Mom2011,Comedy;Drama,40,NOT RATED,0
185132,185132,A_3146,B_0738,The Outer Limits,Drama;Fantasy;Horror,78,TV-PG,Roger Corman's Death Race 2050,Action;Adventure,100,R,0
185442,185442,A_3156,B_2373,Night Gallery,Drama;Fantasy;Horror,80,TV-PG,The Normal Heart,Drama;Television,94,R,0
185645,185645,A_3167,B_1990,Room 104,Drama;Horror;Thriller,61,TV-MA,Richard Pryor: Omit The Logic,Documentary,80,R,0
185675,185675,A_3167,B_2602,Room 104,Drama;Horror;Thriller,61,TV-MA,Gambit,Action;Adventure;Comedy;Drama;Mystery;Thriller,17,PG-13,0
185861,185861,A_3170,B_2279,Mickey Mouse Clubhouse,Animation;Comedy;Family,59,TV-Y,Wolf,Action;Adventure;Documentary;Drama;Mystery;Thriller,67,NOT RATED,0
186140,186140,A_3173,B_0804,The New Batman Adventures,Action;Adventure;Animation,86,TV-PG,The Lost Bladesman (Guan yun chang)2011,Action;Adventure;Film-Noir,57,NOT RATED,0
186633,186633,A_3176,B_2755,Rocko's Modern Life,Animation;Comedy;Family,80,TV-Y,Bullet,Action;Adventure;Drama;Mystery;Thriller,11,NOT RATED,0
187828,187828,A_3194,B_0832,Sailor Moon,Action;Adventure;Animation,77,TV-14,The 24 Hour War,Documentary,100,NOT RATED,0
188426,188426,A_3199,B_1280,Courage the Cowardly Dog,Animation;Comedy;Family,83,TV-Y7,Night Will Fall,Documentary;Drama,100,NOT RATED,0
188880,188880,A_3204,B_2656,The Boss Baby: Back in Business,Animation;Comedy;Family,0,TV-Y7,Flowers in the Attic,Documentary;Drama,52,NOT RATED,0
189464,189464,A_3208,B_0068,TRON: Uprising,Action;Adventure;Animation,82,TV-Y7,Red Dog: True Blue,Drama;Family,100,NOT RATED,0
190229,190229,A_3212,B_0261,Beavis and Butt-Head,Animation;Comedy;Musical,75,TV-14,Radius,Fantasy;Film-Noir;Mystery;Sci-Fi;Thriller,91,NOT RATED,0
190655,190655,A_3218,B_0681,Animals.,Animation;Comedy,72,NOT RATED,Girlfriend's Day,Comedy,20,NOT RATED,0
191725,191725,A_3232,B_2531,Wentworth,Drama,87,TV-MA,No Clue,Comedy,40,NOT RATED,0
